Datetime,Ticker,Open,High,Low,Close,Volume,RUN_JST,RUN_ET,BASE_SESSION,POS,CC2,SD20,SIG,C2,SRC2_CLOSE,ZEROV
2026-09-02 13:30:00-04:00,SOXS,51.96500015258789,52.31999969482422,51.790000915527344,52.154998779296875,2580007,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 14:30:00-04:00,SOXS,52.14500045776367,52.18000030517578,51.750301361083984,51.93899917602539,1643555,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 15:30:00-04:00,SOXS,51.93000030517578,52.09000015258789,51.79999923706055,51.810001373291016,1752154,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 16:00:00-04:00,SOXS,51.79,53.1,51.7,52.67,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 17:00:00-04:00,SOXS,52.65,53.0,51.35,51.78,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 18:00:00-04:00,SOXS,51.78,52.31,51.68,52.05,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-02 19:00:00-04:00,SOXS,52.06,52.14,51.71,51.756,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-03 04:00:00-04:00,SOXS,51.92,53.33,51.24,52.06,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-03 05:00:00-04:00,SOXS,52.09,52.91,52.03,52.85,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-09-03 06:00:00-04:00,SOXS,52.87,53.47,52.74,53.34,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
